Moby Dick contains   218454 words.14440	the
   38	power
   38	plain
   38	leaving
   38	help
   38	ha
   38	gentlemen
   38	gave
   38	forehead
   38	fixed
   38	de
   38	darted
   38	brought
   38	around
   37	table
   37	suppose
   37	skin
   37	shot
   37	seeing
   37	placed
   37	middle
   37	manner
   37	mad
   37	lines
   37	human
   37	holding
   37	held
   37	heavy
   37	flukes
   37	famous
   37	daggoo
   37	cutting
   37	chief
   37	bulwarks
   37	brain
   37	bear
   37	aspect
   37	arms
   36	wood
   36	wonder
   36	use
   36	unknown
   36	truth
   36	strong
   36	sky
   36	sign
   36	natural
   36	legs
   36	greenland
   36	given
   36	forecastle
   36	fell
   36	born
   36	ago
   35	weather
   35	turns
   35	town
   35	spring
   35	rose
   35	rolling
   35	previous
   35	loose
   35	killed
   35	helm
   35	boys
   34	twenty
   34	thoughts
   34	start
   34	skeleton
   34	sailing
   34	rigging
   34	remained
   34	passage
   34	pacific
   34	none
   34	nearly
   34	landlord
   34	hope
   34	fin
   34	fair
   34	creatures
   34	blubber
   34	ashore
   34	american
   34	account
   33	want
   33	stop
   33	steel
   33	kill
   33	island
   33	idea
   33	hardly
   33	hammock
   33	forty
   33	foot
   33	fifty
   33	fear
   33	drawing
   33	didn
   33	completely
   33	company
   32	won
   32	visible
   32	third
   32	strike
   32	storm
   32	show
   32	proper
   32	nose
   32	miles
   32	jet
   32	intervals
   32	hull
   32	ho
   32	hence
   32	harpoons
   32	fresh
   32	free
   32	during
   32	doubt
   32	darkness
   32	bulk
   32	already
   32	aft
   31	works
   31	woe
   31	upper
   31	tossed
   31	thunder
   31	substance
   31	species
   31	soft
   31	six
   31	rising
   31	planks
   31	pass
   31	knife
   31	instances
   31	generally
   31	except
   31	considering
   31	cold
   31	cast
   31	battle
   31	across
   30	vain
   30	touch
   30	swimming
   30	suspended
   30	supper
   30	snow
   30	smoke
   30	shark
   30	really
   30	possibly
   30	possible
   30	late
   30	jaws
   30	hung
   30	huge
   30	horn
   30	hoisted
   30	hammer
   30	flying
   30	die
   30	carried
   30	act
   29	unless
   29	strangely
   29	steady
   29	stands
   29	south
   29	sideways
   29	royal
   29	question
   29	pretty
   29	pole
   29	pointed
   29	play
   29	nay
   29	leeward
   29	lamp
   29	hearts
   29	hast
   29	final
   29	entirely
   29	certainly
   29	astern
   29	aside
   29	altogether
   28	words
   28	thinking
   28	state
   28	sides
   28	shipmates
   28	scene
   28	pilot
   28	person
   28	oar
   28	mild
   28	meanwhile
   28	mariners
   28	m
   28	lightning
   28	leaning
   28	knows
   28	hunters
   28	gods
   28	glance
   28	giving
   28	gale
   28	fishermen
   28	feeling
   28	command
   28	coat
   28	bound
   28	bit
   28	become
   28	ancient
   27	year
   27	yards
   27	wooden
   27	wholly
   27	whiteness
   27	thirty
   27	thick
   27	started
   27	somewhat
   27	seated
   27	read
   27	precisely
   27	parsee
   27	overboard
   27	midnight
   27	looks
   27	lie
   27	kind
   27	ice
   27	hump
   27	horse
   27	fedallah
   27	father
   27	eyeing
   27	eight
   27	dropped
   27	cruising
   27	believe
   27	alongside
   27	ahead
   26	yourself
   26	wise
   26	wife
   26	war
   26	vessels
   26	tis
   26	sweet
   26	silent
   26	received
   26	port
   26	otherwise
   26	masts
   26	keel
   26	hair
   26	getting
   26	friend
   26	followed
   26	floating
   26	finally
   26	fancy
   26	enormous
   26	ears
   26	dutch
   26	drawn
   26	degree
   26	considerable
   26	circumstances
   26	circumstance
   26	chest
   26	bodily
   26	blow
   26	alive
   26	according
   25	watery
   25	thrown
   25	talk
   25	takes
   25	sword
   25	spread
   25	skull
   25	similar
   25	shore
   25	self
   25	seldom
   25	number
   25	learned
   25	interval
   25	hinted
   25	headed
   25	front
   25	duty
   25	drop
   25	dart
   25	country
   25	complete
   25	cases
   25	carry
   25	bright
   25	beat
   25	bearing
   25	answer
   25	afterwards
   25	added
   24	warm
   24	wall
   24	thyself
   24	tall
   24	swift
   24	striking
   24	strength
   24	somewhere
   24	secret
   24	scuttle
   24	remains
   24	regular
   24	regarded
   24	ran
   24	pursuit
   24	pulling
   24	perils
   24	owing
   24	orders
   24	love
   24	level
   24	lakeman
   24	lad
   24	instead
   24	hunt
   24	honour
   24	grow
   24	globe
   24	fore
   24	fiery
   24	exactly
   24	escape
   24	different
   24	commanded
   24	circle
   24	captains
   24	blows
   24	beyond
   24	became
   23	yellow
